Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
5719,KIR - SGUJ D,11,SGUJ,SILIGURI JN.,03:15:00,00:00:00,204,KIR,KATIHAR JN.,SGUJ,SILIGURI JN.
5720,SGUJ - KIR D,11,KIR,KATIHAR JN.,23:00:00,00:00:00,205,SGUJ,SILIGURI JN.,KIR,KATIHAR JN.
5863,RNY - RPAN P,15,RPAN,RANGAPARA NO,21:25:00,21:25:00,89,RNY,RANGIYA JN.,RPAN,RANGAPARA NORTH
5864,RPAN - RNY P,15,RNY,RANGIYA JN.,07:45:00,07:45:00,88,RPAN,RANGAPARA NORTH,RNY,RANGIYA JN.
5865,RNY - MZS PA,53,MZS,MURKEONG SEL,20:20:00,20:20:00,426,RNY,RANGIYA JN.,MZS,MURKEONG SELEK
5866,MZS - RNY PA,53,RNY,RANGIYA JN.,17:45:00,17:45:00,425,MZS,MURKEONG SELEK,RNY,RANGIYA JN.
6001,MS-TEN SPECI,14,TEN,TIRUNELVELI,10:30:00,10:30:00,649,MS,CHENNAI EGMORE,TEN,TIRUNELVELI JN
6002,TEN - MS SPE,15,MS,CHENNAI EGMO,03:30:00,03:30:00,649,TEN,TIRUNELVELI JN,MS,CHENNAI EGMORE
6006,ERS-MAS SPL,14,MAS,CHENNAI CENT,10:30:00,10:30:00,699,ERS,ERNAKULAM. JN,MAS,CHENNAI CENTRAL
6009,SRC-PDY SPL,27,PDY,PONDICHERRY,20:15:00,20:15:00,1844,SRC,SANTRAGACHI JN.,PDY,PONDICHERRY
6010,PDY-SRC SPL,27,SRC,SANTRAGACHI,04:30:00,04:30:00,1843,PDY,PONDICHERRY,SRC,SANTRAGACHI JN.
6041,MAS-QLN SPEC,19,QLN,QUILON,11:00:00,11:00:00,849,MAS,CHENNAI CENTRAL,QLN,QUILON
6042,QLN-MAS SPEC,20,MAS,CHENNAI CENT,08:30:00,08:30:00,851,QLN,QUILON,MAS,CHENNAI CENTRAL
6043,MAS-QLN SPL,18,QLN,QUILON,14:30:00,14:30:00,849,MAS,CHENNAI CENTRAL,QLN,QUILON
6044,QLN-MAS  SPL,19,MAS,CHENNAI CENT,07:20:00,07:20:00,852,QLN,QUILON,MAS,CHENNAI CENTRAL
6046,QLN-MAS SPEC,19,MAS,CHENNAI CENT,08:45:00,08:45:00,852,QLN,QUILON,MAS,CHENNAI CENTRAL
6047,MAS-QLN SPL,19,QLN,QUILON,10:30:00,10:30:00,849,MAS,CHENNAI CENTRAL,QLN,QUILON
6048,QLN- MAS SPL,20,MAS,CHENNAI CENT,06:30:00,06:30:00,852,QLN,QUILON,MAS,CHENNAI CENTRAL
6049,MS-QLN SPL F,19,QLN,QUILON,05:50:00,05:50:00,855,MS,CHENNAI EGMORE,QLN,QUILON
6050,QLN-MS  SPL,20,MS,CHENNAI EGMO,05:30:00,05:30:00,857,QLN,QUILON,MS,CHENNAI EGMORE
6053,KCVL-MAJN S/,14,MAJN,MANGALORE JN,05:10:00,05:10:00,626,KCVL,KOCHUVELI,MAJN,MANGALORE JN
6054,MAJN-KCVL S/,14,KCVL,KOCHUVELI,05:00:00,05:00:00,627,MAJN,MANGALORE JN,KCVL,KOCHUVELI
6057,SRC-MAS  SPL,19,MAS,CHENNAI CENT,05:30:00,05:30:00,1656,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
6058,MAS-SRC  EXP,19,SRC,SANTRAGACHI,19:00:00,19:00:00,1655,MAS,CHENNAI CENTRAL,SRC,SANTRAGACHI JN.
6065,CGL-MDU SPL,13,MDU,MADURAI JN,06:45:00,06:45:00,500,CGL,CHENGALPATTU,MDU,MADURAI JN
6066,MDU-CGL SPL,13,CGL,CHENGALPATTU,02:30:00,02:30:00,501,MDU,MADURAI JN,CGL,CHENGALPATTU
6067,CGL-CBE TRI-,9,CBE,COIMBATORE,05:40:00,05:40:00,522,CGL,CHENGALPATTU,CBE,COIMBATORE  JN.
6068,CBE-CGL TRI-,9,CGL,CHENGALPATTU,05:25:00,05:25:00,522,CBE,COIMBATORE  JN.,CGL,CHENGALPATTU
6081,CBE-POY PASS,4,POY,POLLACHI,14:45:00,00:00:00,45,CBE,COIMBATORE  JN.,POY,POLLACHI
6082,POY-CBE PASS,4,CBE,COIMBATORE,16:15:00,00:00:00,45,POY,POLLACHI,CBE,COIMBATORE  JN.
6412,DSJ-PAY EZHI,21,PAY,PAYYANUR,16:20:00,00:00:00,2462,DSJ,DELHI-SAFDAR JANG,PAY,PAYYANUR
6512,MKM-BAND ONE,14,BAND,BANASWADI,10:20:00,00:00:00,77,MKM,MARIKUPPAM,BAND,BANASWADI
6513,BWT-MKM-MEMU,6,MKM,MARIKUPPAM,07:45:00,00:00:00,17,BWT,BANGARPET JN.,MKM,MARIKUPPAM
6541,YPR-PVR WEEK,14,PVR,PANDHARPUR,11:35:00,11:35:00,881,YPR,YESVANTPUR JN.,PVR,PANDHARPUR
6542,PVR-YPR WEEK,14,YPR,YESVANTPUR J,06:20:00,06:20:00,878,PVR,PANDHARPUR,YPR,YESVANTPUR JN.
6547,YPR-ERS WEEK,14,ERS,ERNAKULAM. J,10:30:00,00:00:00,632,YPR,YESVANTPUR JN.,ERS,ERNAKULAM. JN
6548,ERS-YPR WEEK,13,YPR,YESVANTPUR J,04:30:00,04:30:00,634,ERS,ERNAKULAM. JN,YPR,YESVANTPUR JN.
6579,YPR-VSKP WKY,21,VSKP,VISAKHAPATNA,14:35:00,14:35:00,1089,YPR,YESVANTPUR JN.,VSKP,VISAKHAPATNAM
6580,VSKP-YPR WKY,21,YPR,YESVANTPUR J,09:05:00,09:05:00,1086,VSKP,VISAKHAPATNAM,YPR,YESVANTPUR JN.
6581,YPR-BGM TATK,85,BGM,BELGAUM,09:31:00,09:31:00,607,YPR,YESVANTPUR JN.,BGM,BELGAUM
6582,BGM-YPR TATK,85,YPR,YESVANTPUR J,08:26:00,08:26:00,604,BGM,BELGAUM,YPR,YESVANTPUR JN.
6591,YPR-HSRA PAS,9,HSRA,HOSUR,08:00:00,00:00:00,62,YPR,YESVANTPUR JN.,HSRA,HOSUR
6592,HSRA-YPR PAS,9,YPR,YESVANTPUR J,09:50:00,00:00:00,61,HSRA,HOSUR,YPR,YESVANTPUR JN.
6593,WFD-BYPL DEM,4,BYPL,BAIYYAPPANAH,18:40:00,00:00:00,10,WFD,WHITE FIELD,BYPL,BAIYYAPPANAHALLI
6594,BYPL-WFD DEM,4,WFD,WHITE FIELD,08:50:00,00:00:00,10,BYPL,BAIYYAPPANAHALLI,WFD,WHITE FIELD
6595,YPR-CBP PASS,7,DHL,DEVANHALLI,11:25:00,00:00:00,33,YPR,YESVANTPUR JN.,DHL,DEVANHALLI
6596,CBP-YPR PASS,7,YPR,YESVANTPUR J,14:25:00,00:00:00,33,DHL,DEVANHALLI,YPR,YESVANTPUR JN.
6647,KRBA-BSP PAS,8,BSP,BILASPUR JN.,07:40:00,07:40:00,89,KRBA,KORBA,BSP,BILASPUR JN.
6648,BSP-KRRBA PA,8,KRBA,KORBA,18:30:00,18:30:00,89,BSP,BILASPUR JN.,KRBA,KORBA
6769,PGTN-PLNI PA,11,PLNI,PALANI,07:30:00,07:30:00,116,PGTN,PALGHAT TOWN,PLNI,PALANI
6770,PLNI-PGTN PA,11,PGTN,PALGHAT TOWN,22:30:00,22:30:00,116,PLNI,PALANI,PGTN,PALGHAT TOWN
6851,KIK-NCR DEMU,3,NCR,NAGORE,06:20:00,00:00:00,10,KIK,KARAIKAL,NCR,NAGORE
6852,NCR-KIK DEMU,3,KIK,KARAIKAL,21:30:00,00:00:00,10,NCR,NAGORE,KIK,KARAIKAL
6853,KIK-NCR PASS,3,NCR,NAGORE,15:08:00,00:00:00,10,KIK,KARAIKAL,NCR,NAGORE
6854,NCR-KIK PASS,3,KIK,KARAIKAL,14:35:00,00:00:00,10,NCR,NAGORE,KIK,KARAIKAL
6919,UBL-BJP SPL,32,KDGI,KUDGI H,12:12:00,12:13:00,208,UBL,HUBLI JN.,BJP,BIJAPUR JN
6919,UBL-BJP SPL,38,BJP,BIJAPUR JN,13:21:00,13:21:00,247,UBL,HUBLI JN.,BJP,BIJAPUR JN
6920,BJP-UBL SPL,38,UBL,HUBLI JN.,20:21:00,20:21:00,248,BJP,BIJAPUR JN,UBL,HUBLI JN.
7005,HYB-RXL,34,RXL,RAXAUL JN.,17:30:00,17:30:00,2276,HYB,HYDERABAD DECCAN,RXL,RAXAUL JN.
7007,SC-DBG,27,DBG,DARBHANGA JN,13:45:00,13:45:00,2023,SC,SECUNDERABAD JN.,DBG,DARBHANGA JN.
7008,DBG-SC,28,SC,SECUNDERABAD,22:10:00,22:10:00,2033,DBG,DARBHANGA JN.,SC,SECUNDERABAD JN.
7016,KCG-VSKP,18,VSKP,VISAKHAPATNA,07:50:00,07:50:00,670,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM
7044,VSKP HSP,11,VSKP,VISAKHAPATNA,07:50:00,07:50:00,735,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM
7061,COA-VLNK,8,BZA,VIJAYWADA JN,13:30:00,13:30:00,217,COA,KAKINADA PORT,BZA,VIJAYWADA JN.
7062,VLNK-BZA,14,TPTY,TIRUPATI,03:30:00,00:00:00,437,BZA,VIJAYWADA JN.,COA,KAKINADA PORT
7075,HYB-COA,17,CCT,KAKINADA TOW,05:30:00,05:30:00,554,SC,SECUNDERABAD JN.,CCT,KAKINADA TOWN
7076,COA-HYB,17,SC,SECUNDERABAD,06:00:00,06:00:00,553,CCT,KAKINADA TOWN,SC,SECUNDERABAD JN.
7109,HYB-QLN,40,QLN,QUILON,23:10:00,23:10:00,1589,HYB,HYDERABAD DECCAN,QLN,QUILON
7110,QLN-HYB,40,HYB,HYDERABAD DE,10:30:00,10:30:00,1593,QLN,QUILON,HYB,HYDERABAD DECCAN
7134,QLN-GNT-HYB,39,HYB,HYDERABAD DE,10:30:00,10:30:00,1511,QLN,QUILON,HYB,HYDERABAD DECCAN
7141,HYB-QLN,39,QLN,QUILON,23:10:00,23:10:00,1560,HYB,HYDERABAD DECCAN,QLN,QUILON
7142,QLN-HYB,39,HYB,HYDERABAD DE,08:30:00,08:30:00,1563,QLN,QUILON,HYB,HYDERABAD DECCAN
7211,CCT-QLN,36,QLN,QUILON,06:30:00,06:30:00,1433,CCT,KAKINADA TOWN,QLN,QUILON
7212,QLN-COA,36,CCT,KAKINADA TOW,13:30:00,13:30:00,1436,QLN,QUILON,CCT,KAKINADA TOWN
7217,NS-QLN,37,QLN,QUILON,06:30:00,06:30:00,1360,NS,NARASAPUR,QLN,QUILON
7218,QLN-NS,37,NS,NARASAPUR,13:45:00,13:45:00,1363,QLN,QUILON,NS,NARASAPUR
7410,TPTY-AK,29,AWB,AURANGABAD,09:30:00,09:30:00,1147,TPTY,TIRUPATI,AWB,AURANGABAD
7417,TPTY-NSL HSP,33,NSL,NAGARSOL,11:55:00,11:55:00,1330,TPTY,TIRUPATI,NSL,NAGARSOL
7418,NSL-TPTY HSP,33,TPTY,TIRUPATI,04:00:00,04:00:00,1331,NSL,NAGARSOL,TPTY,TIRUPATI
7425,KCG--COA HSP,15,COA,KAKINADA POR,06:00:00,06:00:00,537,KCG,KACHEGUDA,COA,KAKINADA PORT
7426,COA-KCG HSP,15,KCG,KACHEGUDA,05:10:00,05:10:00,537,COA,KAKINADA PORT,KCG,KACHEGUDA
7429,SC-TPTY,11,TPTY,TIRUPATI,07:00:00,07:00:00,742,SC,SECUNDERABAD JN.,TPTY,TIRUPATI
7430,TPTY-SC,11,SC,SECUNDERABAD,04:00:00,04:00:00,744,TPTY,TIRUPATI,SC,SECUNDERABAD JN.
7431,CCT-TPTY,13,TPTY,TIRUPATI,07:10:00,07:10:00,597,CCT,KAKINADA TOWN,TPTY,TIRUPATI
7432,TPTY-CCT,14,CCT,KAKINADA TOW,04:00:00,04:00:00,597,TPTY,TIRUPATI,CCT,KAKINADA TOWN
7435,COA-HYB,14,SC,SECUNDERABAD,06:00:00,06:00:00,555,CCT,KAKINADA TOWN,SC,SECUNDERABAD JN.
7436,SC-COA,15,CCT,KAKINADA TOW,07:20:00,07:20:00,554,SC,SECUNDERABAD JN.,CCT,KAKINADA TOWN
7438,KCG-TATA HSP,28,TATA,TATANAGAR JN,19:45:00,19:45:00,1533,KCG,KACHEGUDA,TATA,TATANAGAR JN
7439,TATA-KCG HSP,28,KCG,KACHEGUDA,05:00:00,05:00:00,1533,TATA,TATANAGAR JN,KCG,KACHEGUDA
7487,TPTY-VSKP,11,VSKP,VISAKHAPATNA,10:45:00,10:45:00,735,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM
7505,AWB-QLN,49,QLN,QUILON,03:45:00,03:45:00,1973,AWB,AURANGABAD,QLN,QUILON
7509,ADB-QLN,47,QLN,QUILON,03:45:00,03:45:00,1886,ADB,ADILABAD,QLN,QUILON
7517,BIDAR-PVR,9,PVR,PANDHARPUR,07:45:00,07:45:00,350,BIDR,BIDAR,PVR,PANDHARPUR
7525,NJP - NBQ DE,33,NBQ,NEW BONGAIGA,21:15:00,21:15:00,322,SGUJ,SILIGURI JN.,NBQ,NEW BONGAIGAON  JN.
7526,NBQ - NJP DE,33,SGUJ,SILIGURI JN.,15:00:00,15:00:00,322,NBQ,NEW BONGAIGAON  JN.,SGUJ,SILIGURI JN.
7603,KCG-KJM HSP,14,KJM,KRISHNA RAJA,06:00:00,06:00:00,624,KCG,KACHEGUDA,KJM,KRISHNA RAJA PURAM
7604,KJM-KCG HSP,14,KCG,KACHEGUDA,06:55:00,06:55:00,624,KJM,KRISHNA RAJA PURAM,KCG,KACHEGUDA
7607,NED-TPTY HOL,19,TPTY,TIRUPATI,14:00:00,14:00:00,1014,NED,NANDED,TPTY,TIRUPATI
7608,TPTY-NED,19,NED,NANDED,11:30:00,11:30:00,1016,TPTY,TIRUPATI,NED,NANDED
7613,sabarimalai,38,QLN,QUILON,23:10:00,23:10:00,1636,NZB,NIZAMABAD,QLN,QUILON
7614,sabarimalai,39,NZB,NIZAMABAD,13:15:00,13:15:00,1641,QLN,QUILON,NZB,NIZAMABAD
7644,tpty spl,11,TPTY,TIRUPATI,07:45:00,07:45:00,597,CCT,KAKINADA TOWN,TPTY,TIRUPATI
7645,RU-CCT,10,CCT,KAKINADA TOW,08:15:00,08:15:00,587,RU,RENIGUNTA JN.,CCT,KAKINADA TOWN
7757,SC-BZA  SPL,6,BZA,VIJAYWADA JN,10:45:00,10:45:00,314,SC,SECUNDERABAD JN.,BZA,VIJAYWADA JN.
7758,BZA-SC  SPL,6,SC,SECUNDERABAD,22:50:00,22:50:00,314,BZA,VIJAYWADA JN.,SC,SECUNDERABAD JN.
7941,CCT-TPTY HSP,12,RU,RENIGUNTA JN,06:00:00,06:00:00,587,CCT,KAKINADA TOWN,RU,RENIGUNTA JN.
7942,TPTY-COASPL,13,CCT,KAKINADA TOW,05:30:00,05:30:00,597,TPTY,TIRUPATI,CCT,KAKINADA TOWN
8001,KGP-JGM BI-W,2,JGM,JHARGRAM,10:45:00,10:45:00,39,KGP,KHARAGPUR,JGM,JHARGRAM
8002,JGM-KGP BI-W,2,KGP,KHARAGPUR,19:10:00,19:10:00,39,JGM,JHARGRAM,KGP,KHARAGPUR
8014,MDN-KGP MEMU,4,KGP,KHARAGPUR,09:05:00,09:05:00,12,MDN,MIDNAPORE,KGP,KHARAGPUR
8017,KGP-JGM MEMU,6,JGM,JHARGRAM,06:00:00,06:00:00,39,KGP,KHARAGPUR,JGM,JHARGRAM
8018,JGM-KGP MEMU,6,KGP,KHARAGPUR,22:35:00,22:35:00,39,JGM,JHARGRAM,KGP,KHARAGPUR
8035,BLS - KGP DE,19,BLS,BALASORE,15:10:00,15:10:00,120,KGP,KHARAGPUR,BLS,BALASORE
8036,BLS - KGP ME,19,KGP,KHARAGPUR,18:20:00,18:20:00,120,BLS,BALASORE,KGP,KHARAGPUR
8052,JGM KGP MEMU,5,KGP,KHARAGPUR,19:20:00,19:20:00,39,JGM,JHARGRAM,KGP,KHARAGPUR
8061,SHM JP SPL W,24,JP,JAIPUR JN.,06:35:00,06:35:00,1847,SHM,SHALIMAR,JP,JAIPUR JN.
8062,JP SHM SPL W,24,SHM,SHALIMAR,23:20:00,23:20:00,1838,JP,JAIPUR JN.,SHM,SHALIMAR
8063,KGP-BQA DEMU,17,BQA,BANKURA,22:00:00,22:00:00,115,KGP,KHARAGPUR,BQA,BANKURA
8064,BQA-KGP DEMU,16,HWH,HOWRAH JN.,09:10:00,00:00:00,2039,BQA,BANKURA,KGP,KHARAGPUR
8065,KGP-BQA MEMU,17,BQA,BANKURA,17:50:00,17:50:00,115,KGP,KHARAGPUR,BQA,BANKURA
8082,BQA-VSU MEMU,6,VSU,BISHNUPUR,22:50:00,22:50:00,30,BQA,BANKURA,VSU,BISHNUPUR
8087,VSU-BQA MEMU,6,BQA,BANKURA,07:23:00,07:23:00,30,VSU,BISHNUPUR,BQA,BANKURA
8101,CBSA CKP DEM,5,CKP,CHAKARADHARP,22:35:00,22:35:00,40,CBSA,CHAIBASA,CKP,CHAKARADHARPUR
8102,CKP-CBSA DEM,5,CBSA,CHAIBASA,20:55:00,20:55:00,40,CKP,CHAKARADHARPUR,CBSA,CHAIBASA
8301,SBP-BAND WEE,15,BAND,BANASWADI,16:40:00,16:40:00,1567,SBP,SAMBALPUR JN.,BAND,BANASWADI
8302,BAND-SBP WEE,15,SBP,SAMBALPUR JN,06:35:00,06:35:00,1567,BAND,BANASWADI,SBP,SAMBALPUR JN.
8403,PURI-SRC WEE,9,SRC,SANTRAGACHI,06:45:00,06:45:00,495,PURI,PURI,SRC,SANTRAGACHI JN.
8404,SRC-PURI WEE,9,PURI,PURI,04:00:00,04:00:00,497,SRC,SANTRAGACHI JN.,PURI,PURI
8501,VSKP SC WEEK,13,SC,SECUNDERABAD,12:00:00,12:00:00,700,VSKP,VISAKHAPATNAM,SC,SECUNDERABAD JN.
8502,SC VSKP SPEC,13,VSKP,VISAKHAPATNA,04:50:00,04:50:00,698,SC,SECUNDERABAD JN.,VSKP,VISAKHAPATNAM
8511,KRDL-VSKP SP,12,VSKP,VISAKHAPATNA,03:00:00,03:00:00,471,KRDL,KIRANDUL,VSKP,VISAKHAPATNAM
8512,VSKP-KRDL SP,12,KRDL,KIRANDUL,10:00:00,10:00:00,471,VSKP,VISAKHAPATNAM,KRDL,KIRANDUL
8567,VSKP-QLN BI-,29,QLN,QUILON,03:45:00,03:45:00,1571,VSKP,VISAKHAPATNAM,QLN,QUILON
8568,QLN-VSKP BI-,29,VSKP,VISAKHAPATNA,12:30:00,12:30:00,1578,QLN,QUILON,VSKP,VISAKHAPATNAM
8573,VSKP-TPTY WE,15,TPTY,TIRUPATI,13:25:00,13:25:00,760,VSKP,VISAKHAPATNAM,TPTY,TIRUPATI
8574,TPTY-VSKP SP,15,VSKP,VISAKHAPATNA,06:50:00,06:50:00,759,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM
8581,BPQ CAF PASS,2,CAF,CHANDAFORT,23:50:00,23:50:00,11,BPQ,BALHARSHAH,CAF,CHANDAFORT
8582,CAF BPQ SPL,2,BPQ,BALHARSHAH,05:00:00,05:00:00,11,CAF,CHANDAFORT,BPQ,BALHARSHAH
8617,RNC ANVT SPL,15,ANVT,ANAND VIHAR,13:55:00,13:55:00,1365,RNC,RANCHI,ANVT,ANAND VIHAR TERMINAL
8618,ANVT RNC SPL,15,RNC,RANCHI,22:30:00,22:30:00,1356,ANVT,ANAND VIHAR TERMINAL,RNC,RANCHI
8627,HWH RNC SPL,13,RNC,RANCHI,22:10:00,22:10:00,484,HWH,HOWRAH JN.,RNC,RANCHI
8628,RNC HWH  SPL,14,HWH,HOWRAH JN.,15:15:00,15:15:00,481,RNC,RANCHI,HWH,HOWRAH JN.
8872,DURG-G PASS,17,G,GONDIA JN.,00:15:00,00:15:00,133,DURG,DURG,G,GONDIA JN.
9003,BDTS NZM  SF,5,NZM,HAZRAT NIZAM,06:00:00,06:00:00,1355,BDTS,BANDRA TERMINUS,NZM,HAZRAT NIZAMUDDIN JN
9004,NZM  BDTS SF,5,BDTS,BANDRA TERMI,06:10:00,06:10:00,1358,NZM,HAZRAT NIZAMUDDIN JN,BDTS,BANDRA TERMINUS
9005,BCT NDLS BI,4,NDLS,NEW DELHI,07:55:00,07:55:00,1373,BCT,MUMBAI CENTRAL,NDLS,NEW DELHI
9006,NDLS BCT BI,4,BCT,MUMBAI CENTR,06:55:00,06:55:00,1376,NDLS,NEW DELHI,BCT,MUMBAI CENTRAL
9011,BDTS BKN WEE,20,BKN,BIKANER JN.,09:25:00,09:25:00,1209,BDTS,BANDRA TERMINUS,BKN,BIKANER JN.
9012,BKN BDTS WEE,20,BDTS,BANDRA TERMI,12:45:00,12:45:00,1211,BKN,BIKANER JN.,BDTS,BANDRA TERMINUS
9433,BDTS GIMB WE,14,GIMB,GANDHIDHAM J,13:50:00,13:50:00,780,BDTS,BANDRA TERMINUS,GIMB,GANDHIDHAM JN.
